date,ticker,LAST_PRICE,sector
1970-10-12,SPX,84.17,Index
1970-10-13,SPX,84.06,Index
1970-10-14,SPX,84.19,Index
1970-10-15,SPX,84.65,Index
1970-10-16,SPX,84.28,Index
1970-10-19,SPX,83.15,Index
1970-10-20,SPX,83.64,Index
1970-10-21,SPX,83.66,Index
1970-10-22,SPX,83.38,Index
1970-10-23,SPX,83.77,Index
1970-10-26,SPX,83.31,Index
1970-10-27,SPX,83.12,Index
1970-10-28,SPX,83.43,Index
1970-10-29,SPX,83.36,Index
1970-10-30,SPX,83.25,Index
1970-11-02,SPX,83.51,Index
1970-11-03,SPX,84.22,Index
1970-11-04,SPX,84.39,Index
1970-11-05,SPX,84.1,Index
1970-11-06,SPX,84.22,Index
1970-11-09,SPX,84.67,Index
1970-11-10,SPX,84.79,Index
1970-11-11,SPX,85.03,Index
1970-11-12,SPX,84.15,Index
1970-11-13,SPX,83.37,Index
1970-11-16,SPX,83.24,Index
1970-11-17,SPX,83.34,Index
1970-11-18,SPX,82.79,Index
1970-11-19,SPX,82.91,Index
1970-11-20,SPX,83.72,Index
1970-11-23,SPX,84.24,Index
1970-11-24,SPX,84.78,Index
1970-11-25,SPX,85.09,Index
1970-11-27,SPX,85.93,Index
1970-11-30,SPX,87.2,Index
1970-12-01,SPX,87.47,Index
1970-12-02,SPX,88.48,Index
1970-12-03,SPX,88.9,Index
1970-12-04,SPX,89.46,Index
1970-12-07,SPX,89.94,Index
1970-12-08,SPX,89.47,Index
1970-12-09,SPX,89.54,Index
1970-12-10,SPX,89.92,Index
1970-12-11,SPX,90.26,Index
1970-12-14,SPX,89.8,Index
1970-12-15,SPX,89.66,Index
1970-12-16,SPX,89.72,Index
1970-12-17,SPX,90.04,Index
1970-12-18,SPX,90.22,Index
1970-12-21,SPX,89.94,Index
1970-12-22,SPX,90.04,Index
1970-12-23,SPX,90.1,Index
1970-12-24,SPX,90.61,Index
1970-12-28,SPX,91.09,Index
1970-12-29,SPX,92.08,Index
1970-12-30,SPX,92.27,Index
1970-12-31,SPX,92.15,Index
1971-01-04,SPX,91.15,Index
1971-01-05,SPX,91.8,Index
1971-01-06,SPX,92.35,Index
1971-01-07,SPX,92.38,Index
1971-01-08,SPX,92.19,Index
1971-01-11,SPX,91.98,Index
1971-01-12,SPX,92.72,Index
1971-01-13,SPX,92.56,Index
1971-01-14,SPX,92.8,Index
1971-01-15,SPX,93.03,Index
1971-01-18,SPX,93.41,Index
1971-01-19,SPX,93.76,Index
1971-01-20,SPX,93.78,Index
1971-01-21,SPX,94.19,Index
1971-01-22,SPX,94.88,Index
1971-01-25,SPX,95.28,Index
1971-01-26,SPX,95.59,Index
1971-01-27,SPX,94.89,Index
1971-01-28,SPX,95.21,Index
1971-01-29,SPX,95.88,Index
1971-02-01,SPX,96.42,Index
1971-02-02,SPX,96.43,Index
1971-02-03,SPX,96.63,Index
1971-02-04,SPX,96.62,Index
1971-02-05,SPX,96.93,Index
1971-02-08,SPX,97.45,Index
1971-02-09,SPX,97.51,Index
1971-02-10,SPX,97.39,Index
1971-02-11,SPX,97.91,Index
1971-02-12,SPX,98.43,Index
1971-02-16,SPX,98.66,Index
1971-02-17,SPX,98.2,Index
1971-02-18,SPX,97.56,Index
1971-02-19,SPX,96.74,Index
1971-02-22,SPX,95.72,Index
1971-02-23,SPX,96.09,Index
1971-02-24,SPX,96.73,Index
1971-02-25,SPX,96.92,Index
1971-02-26,SPX,96.75,Index
1971-03-01,SPX,97,Index
1971-03-02,SPX,96.98,Index
1971-03-03,SPX,96.95,Index
1971-03-04,SPX,97.92,Index
1971-03-05,SPX,98.96,Index
1971-03-08,SPX,99.38,Index
1971-03-09,SPX,99.46,Index
1971-03-10,SPX,99.3,Index
1971-03-11,SPX,99.39,Index
1971-03-12,SPX,99.57,Index
1971-03-15,SPX,100.71,Index
1971-03-16,SPX,101.21,Index
1971-03-17,SPX,101.12,Index
1971-03-18,SPX,101.19,Index
1971-03-19,SPX,101.01,Index
1971-03-22,SPX,100.62,Index
1971-03-23,SPX,100.28,Index
1971-03-24,SPX,99.62,Index
1971-03-25,SPX,99.61,Index
1971-03-26,SPX,99.95,Index
1971-03-29,SPX,100.03,Index
1971-03-30,SPX,100.26,Index
1971-03-31,SPX,100.31,Index
1971-04-01,SPX,100.39,Index
1971-04-02,SPX,100.56,Index
1971-04-05,SPX,100.79,Index
1971-04-06,SPX,101.51,Index
1971-04-07,SPX,101.98,Index
1971-04-08,SPX,102.1,Index
1971-04-12,SPX,102.88,Index
1971-04-13,SPX,102.98,Index
1971-04-14,SPX,103.37,Index
1971-04-15,SPX,103.52,Index
1971-04-16,SPX,103.49,Index
1971-04-19,SPX,104.01,Index
1971-04-20,SPX,103.61,Index
1971-04-21,SPX,103.36,Index
1971-04-22,SPX,103.56,Index
1971-04-23,SPX,104.05,Index
1971-04-26,SPX,103.94,Index
1971-04-27,SPX,104.39,Index
1971-04-28,SPX,104.77,Index
1971-04-29,SPX,104.63,Index
1971-04-30,SPX,103.95,Index
1971-05-03,SPX,103.29,Index
1971-05-04,SPX,103.79,Index
1971-05-05,SPX,103.78,Index
1971-05-06,SPX,103.23,Index
1971-05-07,SPX,102.87,Index
1971-05-10,SPX,102.36,Index
1971-05-11,SPX,102.62,Index
1971-05-12,SPX,102.9,Index
1971-05-13,SPX,102.69,Index
1971-05-14,SPX,102.21,Index
1971-05-17,SPX,100.69,Index
1971-05-18,SPX,100.83,Index
1971-05-19,SPX,101.07,Index
1971-05-20,SPX,101.31,Index
1971-05-21,SPX,100.99,Index
1971-05-24,SPX,100.13,Index
1971-05-25,SPX,99.47,Index
1971-05-26,SPX,99.59,Index
1971-05-27,SPX,99.4,Index
1971-05-28,SPX,99.63,Index
1971-06-01,SPX,100.2,Index
1971-06-02,SPX,100.96,Index
1971-06-03,SPX,101.01,Index
1971-06-04,SPX,101.3,Index
1971-06-07,SPX,101.14,Index
1971-06-08,SPX,100.32,Index
1971-06-09,SPX,100.29,Index
1971-06-10,SPX,100.64,Index
1971-06-11,SPX,101.07,Index
1971-06-14,SPX,100.22,Index
1971-06-15,SPX,100.32,Index
1971-06-16,SPX,100.52,Index
1971-06-17,SPX,100.5,Index
1971-06-18,SPX,98.97,Index
1971-06-21,SPX,97.87,Index
1971-06-22,SPX,97.59,Index
1971-06-23,SPX,98.41,Index
1971-06-24,SPX,98.17,Index
1971-06-25,SPX,97.99,Index
1971-06-28,SPX,97.74,Index
1971-06-29,SPX,98.82,Index
1971-06-30,SPX,99.7,Index
1971-07-01,SPX,99.78,Index
1971-07-02,SPX,99.78,Index
1971-07-06,SPX,99.76,Index
1971-07-07,SPX,100.04,Index
1971-07-08,SPX,100.34,Index
1971-07-09,SPX,100.69,Index
1971-07-12,SPX,100.82,Index
1971-07-13,SPX,99.5,Index
1971-07-14,SPX,99.22,Index
1971-07-15,SPX,99.28,Index
1971-07-16,SPX,99.11,Index
1971-07-19,SPX,98.93,Index
